point_index,x,y,z
645,-0.366666667,0.0733333333,-0.806666667
646,-0.22,0.0733333333,-0.806666667
647,-0.0733333333,0.0733333333,-0.806666667
648,0.0733333333,0.0733333333,-0.806666667
649,0.22,0.0733333333,-0.806666667
650,0.366666667,0.0733333333,-0.806666667
651,0.513333333,0.0733333333,-0.806666667
652,0.66,0.0733333333,-0.806666667
653,0.806666667,0.0733333333,-0.806666667
654,0.953333333,0.0733333333,-0.806666667
655,1.1,0.0733333333,-0.806666667
656,-1.1,0.22,-0.806666667
657,-0.953333333,0.22,-0.806666667
658,-0.806666667,0.22,-0.806666667
659,-0.66,0.22,-0.806666667
660,-0.513333333,0.22,-0.806666667
661,-0.366666667,0.22,-0.806666667
662,-0.22,0.22,-0.806666667
663,-0.0733333333,0.22,-0.806666667
664,0.0733333333,0.22,-0.806666667
665,0.22,0.22,-0.806666667
666,0.366666667,0.22,-0.806666667
667,0.513333333,0.22,-0.806666667
668,0.66,0.22,-0.806666667
669,0.806666667,0.22,-0.806666667
670,0.953333333,0.22,-0.806666667
671,1.1,0.22,-0.806666667
672,-1.1,0.366666667,-0.806666667
673,-0.953333333,0.366666667,-0.806666667
674,-0.806666667,0.366666667,-0.806666667
675,-0.66,0.366666667,-0.806666667
676,-0.513333333,0.366666667,-0.806666667
677,-0.366666667,0.366666667,-0.806666667
678,-0.22,0.366666667,-0.806666667
679,-0.0733333333,0.366666667,-0.806666667
680,0.0733333333,0.366666667,-0.806666667
681,0.22,0.366666667,-0.806666667
682,0.366666667,0.366666667,-0.806666667
683,0.513333333,0.366666667,-0.806666667
684,0.66,0.366666667,-0.806666667
685,0.806666667,0.366666667,-0.806666667
686,0.953333333,0.366666667,-0.806666667
687,1.1,0.366666667,-0.806666667
688,-1.1,0.513333333,-0.806666667
689,-0.953333333,0.513333333,-0.806666667
690,-0.806666667,0.513333333,-0.806666667
691,-0.66,0.513333333,-0.806666667
692,-0.513333333,0.513333333,-0.806666667
